_id,Time_Stamp,Device_ID,AC1,Current,voltage,Power_Factor,Real_Power,room_temp,Compressor_temp,External_temp,Current_mode_of_AC,Auto,Swing_dir,timing_clock_of_ac,AC_fan,AC_brand,Humidity,_updated,_created,_etag,_links,parent,collection
ObjectId(5db045c7620444f3d7c9e12a),2019-10-23T11:43:12.503655+00:00,011019,,0.18,242.53,0.14,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:21:27.000Z,2019-10-23T12:21:27.000Z,210e17a8f76c101f5a9294a0f8f0a24037c7fe52,,,
ObjectId(5db04649620444f3d7c9e12b),2019-10-23T11:45:12.897086+00:00,011019,,0.17,242.49,0.07,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:23:37.000Z,2019-10-23T12:23:37.000Z,dfc787ebcb6709de98eda968c8cf82fa7fe14e1b,,,
ObjectId(5db046ca620444f3d7c9e12c),2019-10-23T11:47:13.318608+00:00,011019,,0.16,242.04,0.02,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:25:46.000Z,2019-10-23T12:25:46.000Z,e4fda134f3517ef0c1ec71708e275ed8a55671d8,,,
ObjectId(5db0474c620444f3d7c9e12d),2019-10-23T11:49:13.719440+00:00,011019,,0.17,243.4,0.04,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:27:56.000Z,2019-10-23T12:27:56.000Z,ad03bdf7b2b0498b2dc081ae615e7e1f8978bab0,,,
ObjectId(5db047cf620444f3d7c9e12e),2019-10-23T11:51:14.128243+00:00,011019,,0.14,243.16,0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:30:07.000Z,2019-10-23T12:30:07.000Z,2977fe5c69421b8f4435de7b9d5da189b6db6927,,,
ObjectId(5db04850620444f3d7c9e12f),2019-10-23T11:53:14.544747+00:00,011019,,0.18,240.27,0.06,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:32:16.000Z,2019-10-23T12:32:16.000Z,f249aa51382c38b614dc25ecec3359147261ab50,,,
ObjectId(5db048d2620444f3d7c9e130),2019-10-23T11:55:19.981217+00:00,011019,,0.15,244.3,0.14,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:34:26.000Z,2019-10-23T12:34:26.000Z,a3620956532d8d008ae433a2abf5150185429cf9,,,
ObjectId(5db04955620444f3d7c9e131),2019-10-23T11:57:15.383767+00:00,011019,,0.14,240.07,-0.08,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:36:37.000Z,2019-10-23T12:36:37.000Z,6da8ef52c94bc315c987fbd7226fd94fd76e6530,,,
ObjectId(5db049d8620444f3d7c9e132),2019-10-23T11:59:15.813566+00:00,011019,,0.14,242.69,0.04,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:38:48.000Z,2019-10-23T12:38:48.000Z,48a3e39d3a7e671821d5bb06435ab07cb2750953,,,
ObjectId(5db04a5a620444f3d7c9e133),2019-10-23T12:01:16.223811+00:00,011019,,0.16,244.17,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:40:58.000Z,2019-10-23T12:40:58.000Z,ff001ef3b9d27e5f3af269e8925a07aa96031001,,,
ObjectId(5db04adc620444f3d7c9e134),2019-10-23T12:03:16.630833+00:00,011019,,0.15,241.79,0.11,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:43:08.000Z,2019-10-23T12:43:08.000Z,d85f61421bb5804a79c5ca8706e3e496a231feef,,,
ObjectId(5db04b5e620444f3d7c9e135),2019-10-23T12:05:17.037980+00:00,011019,,0.15,242.38,0.05,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:45:18.000Z,2019-10-23T12:45:18.000Z,b47d99ae823e70f8384cac387003219d108ae8ce,,,
ObjectId(5db04be0620444f3d7c9e136),2019-10-23T12:07:17.449386+00:00,011019,,0.16,242.75,0.1,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:47:28.000Z,2019-10-23T12:47:28.000Z,c1a51d885f0ac15e0c716cbd29106e2c96b6922e,,,
ObjectId(5db04c62620444f3d7c9e137),2019-10-23T12:09:17.931238+00:00,011019,,0.16,241.23,0,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T12:49:38.000Z,2019-10-23T12:49:38.000Z,48ba72acd5a0e3fa72c931884bb2e050615bf3f0,,,
ObjectId(5db04f0e620444f3d7c9e138),2019-10-23T12:31:27.447016+00:00,011019,,0.17,242.43,0.09,,0,0,0,Auto,,NaN,00,ON,Bluestar,0,2019-10-23T13:01:02.000Z,2019-10-23T13:01:02.000Z,95bb973b6b1ef3efd05a7bcdc1e730a3badee50e,,,
